loan_id,pool_id,protocol_id,protocol_name,network_id,network_name,base_asset_id,base_asset_ticker,loan_type,amortization_type,asset_status,investment_status,term_days,payment_interval_days,written_off_principal_token,principal_paid_token,interest_paid_dollar,outstanding_principal_dollar,defaulted_loans_amount_dollar,interest_paid_token,written_off_principal_dollar,outstanding_principal_token,principal_paid_dollar,funded_assets_token,funded_assets_dollar,base_interest_rate,management_fee_rate,late_fee_interest_rate,funding_open_timestamp,term_start_timestamp,term_end_timestamp
0xda8f7941192590408dce701a60fb3892455669ce,0xfe119e9c24ab79f1bdd5dd884b86ceea2ee75d92,3,Maple,1,Ethereum,4,USDC,open_term,bullet,active,full,,7.00,0.00,32987976.60,776609.05,19852999.92,0.00,776657.20,0.00,19854230.66,32985931.71,52842207.26,52838931.63,4.87,,0,2024-08-22T15:09:11,2024-08-22T15:09:11,null
0xf6950f28353ca676100c2a92dd360dea16a213ce,0x6f6c8013f639979c84b756c7fc1500eb5af18dc4,3,Maple,1,Ethereum,4,USDC,fixed_term,bullet,liquidated,full,90,30.00,0.00,0.00,236697.66,14999070.17,14999070.17,236712.33,0.00,15000000.00,0.00,15000000.00,14999070.17,12,,0,2022-09-21T09:22:59,2022-09-21T09:23:59,null
