100% sDAI,100% wstETH,Const. Weight,No Fee,Sirloin Index,period,sDAI,wstETH
100.0,100.0,100.0,100.0,100.0,2023-07-01 00:00:00.000 UTC,1.0245671118472872,2176.46
100.02324459724659,101.59662938900784,100.96727547230334,100.96727547230336,100.96538741055323,2023-07-03 00:00:00.000 UTC,1.0248052683459572,2211.21
100.03239639561687,100.73284140301223,100.45266340005409,100.45590846050823,100.4529887702866,2023-07-04 00:00:00.000 UTC,1.0248990346622016,2192.41
100.04027317499622,99.40499710539133,99.6591075332333,99.66455622461778,99.66006105630326,2023-07-05 00:00:00.000 UTC,1.0249797375531953,2163.51
100.0517499377754,96.51268573739007,97.92831141754421,97.92921155160512,97.92130125340749,2023-07-06 00:00:00.000 UTC,1.0250973246901354,2100.56
100.06042629349082,97.21612159194288,98.35384347256206,98.3608646178618,98.35207319940989,2023-07-07 00:00:00.000 UTC,1.0251862197773025,2115.87
100.06950964925365,96.91747149040185,98.17828675394256,98.183136179921,98.17398736504741,2023-07-08 00:00:00.000 UTC,1.0252792848531005,2109.37
100.07906674162935,96.87060639754463,98.15399053517852,98.15840068587993,98.14918595738635,2023-07-09 00:00:00.000 UTC,1.0253772036784308,2108.35
100.08944001524205,97.77252970419858,98.69929382861596,98.7108184291155,98.70046745650605,2023-07-10 00:00:00.000 UTC,1.0254834848282885,2127.98
100.09384571564716,97.70682668185955,98.6616342953746,98.672756305073,98.66232451833028,2023-07-11 00:00:00.000 UTC,1.0255286241856858,2126.55
100.10673467864981,97.34752763662094,98.4512104534325,98.46012804827508,98.44926812000297,2023-07-12 00:00:00.000 UTC,1.0256606802616692,2118.73
100.11517533980562,104.16456080056606,102.54480661626188,102.60041645183024,102.58083679750033,2023-07-13 00:00:00.000 UTC,1.025747160499894,2267.1
100.12513150403878,100.67678707626146,100.4561248473724,100.54325717601182,100.51993616161086,2023-07-14 00:00:00.000 UTC,1.0258491680842283,2191.19
100.13409394407786,100.54216479972067,100.37893645746354,100.46619088861715,100.44271565736243,2023-07-15 00:00:00.000 UTC,1.025940994297288,2188.26
100.15541253418361,99.48953805721217,99.75588784800075,99.8436478061511,99.81903047635281,2023-07-17 00:00:00.000 UTC,1.0261594175602209,2165.35
100.18610120917677,98.5673984359924,99.21487954526616,99.30063200799079,99.27500162848139,2023-07-21 00:00:00.000 UTC,1.0264738436312626,2145.28
100.20913756156814,96.43503671098941,97.9446770512209,98.02083061104108,97.99292596384225,2023-07-24 00:00:00.000 UTC,1.0267098665216339,2098.87
100.22117086636737,96.83109269180228,98.18712396162832,98.26708009755714,98.23863652344839,2023-07-25 00:00:00.000 UTC,1.0268331558050752,2107.49
100.22885334658152,97.38658188066861,98.52349046703378,98.60832936830872,98.57911977904185,2023-07-26 00:00:00.000 UTC,1.0269118679707234,2119.58
100.24028175112834,96.85911985517768,98.21158461355793,98.2923792906516,98.2626090980033,2023-07-27 00:00:00.000 UTC,1.027028959645119,2108.1
100.25010029658355,97.66823189950655,98.70097925833736,98.78888125070665,98.75798722709084,2023-07-28 00:00:00.000 UTC,1.0271295572327148,2125.71
100.25620008955887,98.09093665861077,98.95704203099001,99.04781853895159,99.0163378438484,2023-07-29 00:00:00.000 UTC,1.0271920537054307,2134.91
100.27529608667079,96.74057873795063,98.15446567743868,98.23724643576784,98.20436501884282,2023-07-31 00:00:00.000 UTC,1.0273877050115188,2105.52
100.28149327310459,97.40909550370786,98.55805461146656,98.64699053749963,98.61316489783009,2023-08-01 00:00:00.000 UTC,1.0274511993455793,2120.07
100.29196417710062,95.7678983303162,97.57752466902997,97.6538783234463,97.6183870810226,2023-08-02 00:00:00.000 UTC,1.0275584807842357,2084.35
100.29866694437891,95.7127629269548,97.54712453392443,97.62275618757849,97.58720098633698,2023-08-03 00:00:00.000 UTC,1.027627155133353,2083.15
100.30855832907064,95.39022081729048,97.35755582200255,97.42922002925367,97.39332913654593,2023-08-04 00:00:00.000 UTC,1.0277284990078106,2076.13
100.3196445987539,95.85703389908385,97.64207817895186,97.71960206986878,97.68304518448089,2023-08-05 00:00:00.000 UTC,1.027842085280916,2086.29
100.33218303924365,95.48303207961553,97.42269246346677,97.495726100242,97.45878096456758,2023-08-06 00:00:00.000 UTC,1.0279705500185123,2078.15
100.35334346682986,95.28592301259846,97.31289119429101,97.3831926172562,97.34602403462945,2023-08-07 00:00:00.000 UTC,1.028187352800287,2073.86
100.3745965413614,96.75160581862292,98.20080210771832,98.29020797153024,98.25092109920428,2023-08-08 00:00:00.000 UTC,1.0284051048121936,2105.76
100.3957659141117,96.81501153248854,98.2473132851378,98.33714829630298,98.29779026163567,2023-08-09 00:00:00.000 UTC,1.0286219992431775,2107.14
100.41689564088425,96.61836192716613,98.13777541265338,98.22558206894574,98.1860042675578,2023-08-10 00:00:00.000 UTC,1.0288384874745122,2102.86
100.43819452932767,96.39276623507898,98.01093755277846,98.09630666022419,98.05648084941853,2023-08-11 00:00:00.000 UTC,1.0290567088806926,2097.95
100.45916843652611,96.55403728991115,98.11608974855713,98.20297331607483,98.16293190640448,2023-08-12 00:00:00.000 UTC,1.0292716006359173,2101.46
100.48046452093355,96.15476507723552,97.88504485471472,97.96764587998621,97.92718834144574,2023-08-13 00:00:00.000 UTC,1.029489793312867,2092.77
100.50175040386237,96.25446826498076,97.95338112053341,98.03689708778114,97.9963139954528,2023-08-14 00:00:00.000 UTC,1.029707881468822,2094.94
100.52263749353952,95.49681593045587,97.50714455568934,97.58203754698492,97.5406926718226,2023-08-15 00:00:00.000 UTC,1.0299218837202762,2078.45
