Timestamp,Date,Measure,XEVT,bERNX,bHIGH,bC3M
1703808000000,2023-12-29,Total Asset Value (Dollar),,,2514555.47,13143769.84
1703894400000,2023-12-30,Total Asset Value (Dollar),,,2514069.76,13122880.55
1703980800000,2023-12-31,Total Asset Value (Dollar),,,2514069.76,13122880.55
1704067200000,2024-01-01,Total Asset Value (Dollar),,,2510010.03,13101689.15
1704153600000,2024-01-02,Total Asset Value (Dollar),,,2509622.15,13108476.26
1704240000000,2024-01-03,Total Asset Value (Dollar),,,2482911.94,12994686.89
1704326400000,2024-01-04,Total Asset Value (Dollar),,,2465732.33,12979550.17
1704412800000,2024-01-05,Total Asset Value (Dollar),,,2467196.82,12999465.94
1704499200000,2024-01-06,Total Asset Value (Dollar),,,2459608.31,13010899.35
1704585600000,2024-01-07,Total Asset Value (Dollar),,,2459608.31,13010899.35
1704672000000,2024-01-08,Total Asset Value (Dollar),,,2455986.92,12991743.47
1704758400000,2024-01-09,Total Asset Value (Dollar),,,2460267.27,13006242.37
1704844800000,2024-01-10,Total Asset Value (Dollar),,,2461417.36,12987722.78
1704931200000,2024-01-11,Total Asset Value (Dollar),,,2477290.46,13041497.80
1705017600000,2024-01-12,Total Asset Value (Dollar),,,2480278.22,13051713.56
1705104000000,2024-01-13,Total Asset Value (Dollar),,,2487926.48,13027423.10
1705190400000,2024-01-14,Total Asset Value (Dollar),,,2487926.48,13027423.10
1705276800000,2024-01-15,Total Asset Value (Dollar),,,2483681.12,13005194.09
1705363200000,2024-01-16,Total Asset Value (Dollar),,,2481284.26,13010794.07
1705449600000,2024-01-17,Total Asset Value (Dollar),,,2459687.39,12926313.78
1705536000000,2024-01-18,Total Asset Value (Dollar),,,2453148.62,12938583.37
1705622400000,2024-01-19,Total Asset Value (Dollar),,,2453355.32,12934568.79
1705708800000,2024-01-20,Total Asset Value (Dollar),,,2465146.45,12968759.16
1705795200000,2024-01-21,Total Asset Value (Dollar),,,2465146.45,12968759.16
1705881600000,2024-01-22,Total Asset Value (Dollar),,,2462209.16,12953305.05
1705968000000,2024-01-23,Total Asset Value (Dollar),,,2462422.82,12939273.07
1706054400000,2024-01-24,Total Asset Value (Dollar),,,2464075.45,12914341.74
1706140800000,2024-01-25,Total Asset Value (Dollar),,,2471110.76,12941320.80
1706227200000,2024-01-26,Total Asset Value (Dollar),,,2460626.14,12909826.66
1706313600000,2024-01-27,Total Asset Value (Dollar),,,2472187.56,12926571.66
1706400000000,2024-01-28,Total Asset Value (Dollar),,,2472187.56,12926571.66
1706486400000,2024-01-29,Total Asset Value (Dollar),,,2467504.64,12902085.88
1706572800000,2024-01-30,Total Asset Value (Dollar),,,2465643.77,12898989.87
1706659200000,2024-01-31,Total Asset Value (Dollar),,,2466948.93,12909201.05
1706745600000,2024-02-01,Total Asset Value (Dollar),,,2456175.63,12872056.58
1706832000000,2024-02-02,Total Asset Value (Dollar),,,2462297.91,12954644.78
1706918400000,2024-02-03,Total Asset Value (Dollar),,,2448194.42,12859996.03
1707004800000,2024-02-04,Total Asset Value (Dollar),,,2448194.42,12859996.03
1707091200000,2024-02-05,Total Asset Value (Dollar),,,2443937.65,12837635.80
1707177600000,2024-02-06,Total Asset Value (Dollar),,,2431649.59,12789385.99
1707264000000,2024-02-07,Total Asset Value (Dollar),,,2432780.15,12814334.11
1707350400000,2024-02-08,Total Asset Value (Dollar),,,2439275.80,12836895.75
1707436800000,2024-02-09,Total Asset Value (Dollar),,,2440265.21,12836634.83
1707523200000,2024-02-10,Total Asset Value (Dollar),,,2444588.88,12851982.12
1707609600000,2024-02-11,Total Asset Value (Dollar),,,2444588.88,12851982.12
1707696000000,2024-02-12,Total Asset Value (Dollar),,,2447317.93,12866329.96
1707782400000,2024-02-13,Total Asset Value (Dollar),,,2441710.75,12834695.43
1707868800000,2024-02-14,Total Asset Value (Dollar),,,2427745.90,12765433.50
1707955200000,2024-02-15,Total Asset Value (Dollar),,,2429493.46,12794001.01
1708041600000,2024-02-16,Total Asset Value (Dollar),,,2445911.25,12848472.60
1708128000000,2024-02-17,Total Asset Value (Dollar),,,2448531.05,12850384.52
1708214400000,2024-02-18,Total Asset Value (Dollar),,,2448531.05,12850384.52
1708300800000,2024-02-19,Total Asset Value (Dollar),,,2450099.57,12858615.11
1708387200000,2024-02-20,Total Asset Value (Dollar),,,2445226.96,12851759.34
1708473600000,2024-02-21,Total Asset Value (Dollar),,,161273.78,8823411.78
1708560000000,2024-02-22,Total Asset Value (Dollar),,,161218.89,8830710.05
1708646400000,2024-02-23,Total Asset Value (Dollar),,,161684.13,8837801.60
1708732800000,2024-02-24,Total Asset Value (Dollar),,,162076.99,8843570.26
1708819200000,2024-02-25,Total Asset Value (Dollar),,,162076.99,8843570.26
1708905600000,2024-02-26,Total Asset Value (Dollar),,,161878.31,8832730.39
1708992000000,2024-02-27,Total Asset Value (Dollar),,,162490.80,8857519.47
1709078400000,2024-02-28,Total Asset Value (Dollar),,,162170.34,8857752.31
1709164800000,2024-02-29,Total Asset Value (Dollar),,,162025.86,8857560.19
1709251200000,2024-03-01,Total Asset Value (Dollar),,,161656.72,8831208.09
1709337600000,2024-03-02,Total Asset Value (Dollar),,,162385.94,8864510.78
1709424000000,2024-03-03,Total Asset Value (Dollar),,,162385.94,8864510.78
1709510400000,2024-03-04,Total Asset Value (Dollar),,,162332.95,8861617.58
1709596800000,2024-03-05,Total Asset Value (Dollar),,,162655.37,8872158.84
1709683200000,2024-03-06,Total Asset Value (Dollar),,,162655.89,8875167.94
1709769600000,2024-03-07,Total Asset Value (Dollar),,,163251.63,8910088.99
1709856000000,2024-03-08,Total Asset Value (Dollar),,,164123.53,8953126.90
1709942400000,2024-03-09,Total Asset Value (Dollar),,,164146.48,8948442.01
1710028800000,2024-03-10,Total Asset Value (Dollar),,,164146.48,8948442.01
1710115200000,2024-03-11,Total Asset Value (Dollar),,,164111.99,8946562.62
1710201600000,2024-03-12,Total Asset Value (Dollar),,,163936.39,8938485.45
1710288000000,2024-03-13,Total Asset Value (Dollar),,,163912.04,8937156.31
1710374400000,2024-03-14,Total Asset Value (Dollar),,,164841.72,8958274.32
1710460800000,2024-03-15,Total Asset Value (Dollar),,,163820.58,8904270.21
1710547200000,2024-03-16,Total Asset Value (Dollar),,,163551.27,8910137.02
1710633600000,2024-03-17,Total Asset Value (Dollar),,,163551.27,8910137.02
1710720000000,2024-03-18,Total Asset Value (Dollar),,,163446.79,8904444.57
1710806400000,2024-03-19,Total Asset Value (Dollar),,,163223.58,8895441.28
1710892800000,2024-03-20,Total Asset Value (Dollar),,,163134.19,8890569.49
1710979200000,2024-03-21,Total Asset Value (Dollar),,,164332.88,8949451.66
1711065600000,2024-03-22,Total Asset Value (Dollar),,,162642.07,8888917.72
1711152000000,2024-03-23,Total Asset Value (Dollar),,,162377.36,8893673.61
1711238400000,2024-03-24,Total Asset Value (Dollar),,,162377.36,8893673.61
1711324800000,2024-03-25,Total Asset Value (Dollar),,,161628.66,8852666.49
1711411200000,2024-03-26,Total Asset Value (Dollar),,,161841.17,8873357.46
1711497600000,2024-03-27,Total Asset Value (Dollar),,,162193.50,8870312.86
1711584000000,2024-03-28,Total Asset Value (Dollar),,,161662.95,8859241.20
1711670400000,2024-03-29,Total Asset Value (Dollar),,,161263.01,8845584.34
1711756800000,2024-03-30,Total Asset Value (Dollar),,,161607.03,8848920.25
1711843200000,2024-03-31,Total Asset Value (Dollar),,,161607.03,8848920.25
1711929600000,2024-04-01,Total Asset Value (Dollar),,,161492.26,8843103.55
1712016000000,2024-04-02,Total Asset Value (Dollar),,,160682.93,8798319.91
1712102400000,2024-04-03,Total Asset Value (Dollar),,11320000.00,161220.86,8822099.34
1712188800000,2024-04-04,Total Asset Value (Dollar),,11320000.00,161839.59,8882805.55
1712275200000,2024-04-05,Total Asset Value (Dollar),,11320000.00,162038.41,8883364.14
1712361600000,2024-04-06,Total Asset Value (Dollar),,11320000.00,162128.37,8891263.82
1712448000000,2024-04-07,Total Asset Value (Dollar),,11320000.00,162128.37,8891263.82
1712534400000,2024-04-08,Total Asset Value (Dollar),,11320000.00,161925.75,8880152.48
1712620800000,2024-04-09,Total Asset Value (Dollar),,11320000.00,162625.31,8908148.00
1712707200000,2024-04-10,Total Asset Value (Dollar),,11320000.00,162550.97,8902589.20
1712793600000,2024-04-11,Total Asset Value (Dollar),,11320000.00,161357.57,8811156.10
1712880000000,2024-04-12,Total Asset Value (Dollar),,11320000.00,160358.86,8798807.50
1712966400000,2024-04-13,Total Asset Value (Dollar),,11320000.00,159269.76,8742084.54
1713052800000,2024-04-14,Total Asset Value (Dollar),,11320000.00,159269.76,8742084.54
1713139200000,2024-04-15,Total Asset Value (Dollar),,11320000.00,159155.59,8735818.36
1713225600000,2024-04-16,Total Asset Value (Dollar),,11320000.00,158637.76,8721085.03
1713312000000,2024-04-17,Total Asset Value (Dollar),,11320000.00,157638.27,8716652.29
1713398400000,2024-04-18,Total Asset Value (Dollar),,11320000.00,158677.98,8756849.72
1713484800000,2024-04-19,Total Asset Value (Dollar),,11320000.00,158198.88,8737531.73
1713571200000,2024-04-20,Total Asset Value (Dollar),,11320000.00,158596.25,8755878.18
1713657600000,2024-04-21,Total Asset Value (Dollar),,11320000.00,158596.25,8755878.18
1713744000000,2024-04-22,Total Asset Value (Dollar),,11320000.00,158536.75,8752593.44
1713830400000,2024-04-23,Total Asset Value (Dollar),,11320000.00,158980.70,8751078.44
1713916800000,2024-04-24,Total Asset Value (Dollar),,11320000.00,160187.16,8790523.59
1714003200000,2024-04-25,Total Asset Value (Dollar),909.50,11320000.00,160342.48,8786078.85
1714089600000,2024-04-26,Total Asset Value (Dollar),909.50,11320000.00,160225.74,8813945.94
1714176000000,2024-04-27,Total Asset Value (Dollar),909.50,11320000.00,159870.11,8788008.35
1714262400000,2024-04-28,Total Asset Value (Dollar),909.50,11320000.00,160014.04,8790384.73
1714348800000,2024-04-29,Total Asset Value (Dollar),909.50,11320000.00,160147.83,8797734.16
1714435200000,2024-04-30,Total Asset Value (Dollar),107970.30,11320000.00,160282.99,8808929.03
1714521600000,2024-05-01,Total Asset Value (Dollar),107970.30,11320000.00,159368.57,8766586.50
1714608000000,2024-05-02,Total Asset Value (Dollar),1177324.17,11320000.00,160533.64,8806479.57
1714694400000,2024-05-03,Total Asset Value (Dollar),1177324.17,11320000.00,160379.66,8823463.98
1714780800000,2024-05-04,Total Asset Value (Dollar),1177324.17,11320000.00,161260.54,8856035.80
1714867200000,2024-05-05,Total Asset Value (Dollar),1177324.17,11320000.00,161375.32,8853825.44
1714953600000,2024-05-06,Total Asset Value (Dollar),1177324.17,11320000.00,161250.82,8846993.88
1715040000000,2024-05-07,Total Asset Value (Dollar),1177324.17,11320000.00,161408.00,8855618.16
1715126400000,2024-05-08,Total Asset Value (Dollar),1305580.21,11320000.00,161439.94,8842014.55
1715212800000,2024-05-09,Total Asset Value (Dollar),1305580.21,11320000.00,161628.44,8837431.99
1715299200000,2024-05-10,Total Asset Value (Dollar),1305580.21,11320000.00,162015.78,8870483.05
1715385600000,2024-05-11,Total Asset Value (Dollar),1305580.21,11320000.00,162020.14,8868314.45
1715472000000,2024-05-12,Total Asset Value (Dollar),1305580.21,11320000.00,161675.47,8866839.13
1715558400000,2024-05-13,Total Asset Value (Dollar),1305580.21,11320000.00,161576.21,8860965.01
1715644800000,2024-05-14,Total Asset Value (Dollar),1305580.21,11320000.00,161847.38,8881641.37
1715731200000,2024-05-15,Total Asset Value (Dollar),1305580.21,11320000.00,162093.13,8897546.19
1715817600000,2024-05-16,Total Asset Value (Dollar),1305580.21,11320000.00,163510.67,8962410.01
1715904000000,2024-05-17,Total Asset Value (Dollar),1305580.21,11320000.00,163519.85,8945353.55
1715990400000,2024-05-18,Total Asset Value (Dollar),1305580.21,11320000.00,163594.06,8955756.99
1716076800000,2024-05-19,Total Asset Value (Dollar),1305580.21,11320000.00,163550.57,8955756.99
1716163200000,2024-05-20,Total Asset Value (Dollar),1305580.21,11320000.00,163468.59,8951267.35
1716249600000,2024-05-21,Total Asset Value (Dollar),1305580.21,11320000.00,163287.62,8942881.12
1716336000000,2024-05-22,Total Asset Value (Dollar),1305580.21,11320000.00,163358.30,8940973.54
1716422400000,2024-05-23,Total Asset Value (Dollar),1305580.21,11320000.00,162887.74,8917440.52
1716508800000,2024-05-24,Total Asset Value (Dollar),1305580.21,11320000.00,162647.67,8911991.35
1716595200000,2024-05-25,Total Asset Value (Dollar),1305580.21,11320000.00,163085.62,8943910.60
1716681600000,2024-05-26,Total Asset Value (Dollar),1305580.21,11320000.00,163212.96,8939054.48
1716768000000,2024-05-27,Total Asset Value (Dollar),1305580.21,11320000.00,163197.91,8938230.69
1716854400000,2024-05-28,Total Asset Value (Dollar),1305580.21,11320000.00,163393.41,8948194.56
1716940800000,2024-05-29,Total Asset Value (Dollar),1305580.21,11320000.00,163630.68,8944949.49
1717027200000,2024-05-30,Total Asset Value (Dollar),1305580.21,11320000.00,162395.44,8905020.92
1717113600000,2024-05-31,Total Asset Value (Dollar),1305580.21,11320000.00,162783.98,8932455.76
1717200000000,2024-06-01,Total Asset Value (Dollar),1305580.21,11320000.00,163203.69,8953899.53
1717286400000,2024-06-02,Total Asset Value (Dollar),1305580.21,11320000.00,163159.69,8953072.60
1717372800000,2024-06-03,Total Asset Value (Dollar),1305580.21,11320000.00,163097.19,8949642.73
1717459200000,2024-06-04,Total Asset Value (Dollar),1305580.21,11320000.00,164035.30,8993994.11
1717545600000,2024-06-05,Total Asset Value (Dollar),1305580.21,11320000.00,164083.62,8976518.97
1717632000000,2024-06-06,Total Asset Value (Dollar),1305580.21,11320000.00,164067.60,8969047.37
1717718400000,2024-06-07,Total Asset Value (Dollar),1305580.21,11320000.00,164620.52,8986740.73
1717804800000,2024-06-08,Total Asset Value (Dollar),1305580.21,11320000.00,163226.68,8917678.57
1717891200000,2024-06-09,Total Asset Value (Dollar),1305580.21,11320000.00,163082.69,8919157.02
1717977600000,2024-06-10,Total Asset Value (Dollar),1305580.21,11320000.00,162646.59,8895306.59
1718064000000,2024-06-11,Total Asset Value (Dollar),1305580.21,11320000.00,162116.43,8880621.29
1718150400000,2024-06-12,Total Asset Value (Dollar),1305580.21,11320000.00,161716.10,8864370.87
1718236800000,2024-06-13,Total Asset Value (Dollar),1305580.21,11320000.00,162904.40,8928126.91
1718323200000,2024-06-14,Total Asset Value (Dollar),1305580.21,11320000.00,161874.25,8863926.09
1718409600000,2024-06-15,Total Asset Value (Dollar),1305580.21,11320000.00,161261.71,8856593.35
1718496000000,2024-06-16,Total Asset Value (Dollar),1305580.21,11320000.00,160927.95,8852379.36
1718582400000,2024-06-17,Total Asset Value (Dollar),1305580.21,11320000.00,160704.56,8840091.31
1718668800000,2024-06-18,Total Asset Value (Dollar),1305580.21,11320000.00,160902.10,8870688.74
1718755200000,2024-06-19,Total Asset Value (Dollar),1305580.21,11320000.00,161584.29,8869696.84
1718841600000,2024-06-20,Total Asset Value (Dollar),1305580.21,11320000.00,161821.42,8875588.71
1718928000000,2024-06-21,Total Asset Value (Dollar),1305580.21,11320000.00,161258.98,8846738.07
1719014400000,2024-06-22,Total Asset Value (Dollar),1305580.21,11320000.00,161029.28,8837163.65
1719100800000,2024-06-23,Total Asset Value (Dollar),1305580.21,11320000.00,160808.91,8837579.20
1719187200000,2024-06-24,Total Asset Value (Dollar),1305580.21,11320000.00,160764.05,8835113.03
1719273600000,2024-06-25,Total Asset Value (Dollar),1305580.21,11320000.00,161723.58,8869823.18
1719360000000,2024-06-26,Total Asset Value (Dollar),1305580.21,11320000.00,161297.45,8851147.32
1719446400000,2024-06-27,Total Asset Value (Dollar),1305580.21,11320000.00,161100.46,8829035.31
1719532800000,2024-06-28,Total Asset Value (Dollar),1305580.21,11320000.00,161290.88,8855183.82
1719619200000,2024-06-29,Total Asset Value (Dollar),1305580.21,11320000.00,161510.73,8865584.12
1719705600000,2024-06-30,Total Asset Value (Dollar),1305580.21,11320000.00,161453.59,8865584.12
1719792000000,2024-07-01,Total Asset Value (Dollar),1305580.21,11320000.00,161699.92,8879109.43
1719878400000,2024-07-02,Total Asset Value (Dollar),1305580.21,11320000.00,161845.57,8878518.46
1719964800000,2024-07-03,Total Asset Value (Dollar),1305580.21,11320000.00,162002.38,8890898.39
1720051200000,2024-07-04,Total Asset Value (Dollar),1305580.21,11320000.00,163166.58,8924810.84
1720137600000,2024-07-05,Total Asset Value (Dollar),1305580.21,11320000.00,163811.73,8943410.48
1720224000000,2024-07-06,Total Asset Value (Dollar),1305580.21,11320000.00,164467.05,8977424.21
1720310400000,2024-07-07,Total Asset Value (Dollar),1305580.21,11320000.00,164276.80,8972511.70
1720396800000,2024-07-08,Total Asset Value (Dollar),1305580.21,11320000.00,164066.40,8961019.27
1720483200000,2024-07-09,Total Asset Value (Dollar),1305580.21,11320000.00,164330.81,8963684.86
1720569600000,2024-07-10,Total Asset Value (Dollar),1305580.21,11320000.00,164088.50,8952780.26
1720656000000,2024-07-11,Total Asset Value (Dollar),1305580.22,11320000.00,164106.85,8966286.77
1720742400000,2024-07-12,Total Asset Value (Dollar),1305580.22,11320000.00,164950.83,9001131.60
1720828800000,2024-07-13,Total Asset Value (Dollar),1305580.22,11320000.00,166290.13,9043294.55
1720915200000,2024-07-14,Total Asset Value (Dollar),1305580.22,11320000.00,166362.18,9043959.64
1721001600000,2024-07-15,Total Asset Value (Dollar),1305580.22,11320000.00,165829.04,9014976.40
1721088000000,2024-07-16,Total Asset Value (Dollar),1305580.22,11320000.00,166084.37,9025613.71
1721174400000,2024-07-17,Total Asset Value (Dollar),1305580.22,11320000.00,165944.66,9031398.04
1721260800000,2024-07-18,Total Asset Value (Dollar),1305580.22,11320000.00,166462.78,9062769.15
1721347200000,2024-07-19,Total Asset Value (Dollar),1305580.22,11320000.00,166027.29,9031897.12
1721433600000,2024-07-20,Total Asset Value (Dollar),1305580.22,11320000.00,165792.10,9026076.25
1721520000000,2024-07-21,Total Asset Value (Dollar),1305580.22,11320000.00,165717.26,9025161.62
1721606400000,2024-07-22,Total Asset Value (Dollar),1305580.22,11320000.00,165860.70,9032973.59
1721692800000,2024-07-23,Total Asset Value (Dollar),1305580.22,11320000.00,166057.84,9023911.83
1721779200000,2024-07-24,Total Asset Value (Dollar),1305580.22,11320000.00,165429.15,8993546.19
1721865600000,2024-07-25,Total Asset Value (Dollar),1283917.05,11320000.00,165032.41,8986022.39
1721952000000,2024-07-26,Total Asset Value (Dollar),1283917.05,11320000.00,165126.90,8996631.52
1722038400000,2024-07-27,Total Asset Value (Dollar),1283917.05,11320000.00,165573.12,9016117.60
1722124800000,2024-07-28,Total Asset Value (Dollar),1283917.05,11320000.00,165702.66,9016772.25
1722211200000,2024-07-29,Total Asset Value (Dollar),1283917.05,11320000.00,165435.40,9002229.99
1722297600000,2024-07-30,Total Asset Value (Dollar),1283917.05,11320000.00,164981.64,8974400.49
1722384000000,2024-07-31,Total Asset Value (Dollar),1230766.55,11320000.00,164961.93,8973240.49
1722470400000,2024-08-01,Total Asset Value (Dollar),1230766.55,11320000.00,165425.03,8975898.77
1722556800000,2024-08-02,Total Asset Value (Dollar),1230766.55,11320000.00,164523.58,8952305.19
1722643200000,2024-08-03,Total Asset Value (Dollar),1230766.55,11320000.00,166303.97,9064135.88
1722729600000,2024-08-04,Total Asset Value (Dollar),1230766.55,11320000.00,165806.64,9062304.52
1722816000000,2024-08-05,Total Asset Value (Dollar),1230766.55,11320000.00,165713.84,9057232.27
1722902400000,2024-08-06,Total Asset Value (Dollar),1230766.55,11320000.00,165741.78,9089907.46
1722988800000,2024-08-07,Total Asset Value (Dollar),1230766.55,11320000.00,165455.54,9068671.46
1723075200000,2024-08-08,Total Asset Value (Dollar),1230766.55,11320000.00,166072.22,9071514.55
1723161600000,2024-08-09,Total Asset Value (Dollar),1230766.55,11320000.00,166195.74,9066543.58
1723248000000,2024-08-10,Total Asset Value (Dollar),1230766.55,11320000.00,166819.48,9071333.92
1723334400000,2024-08-11,Total Asset Value (Dollar),1231826.72,11320000.00,166845.91,9074265.76
1723420800000,2024-08-12,Total Asset Value (Dollar),1231826.72,11320000.00,166652.00,9063719.28
1723507200000,2024-08-13,Total Asset Value (Dollar),1283770.56,11320000.00,166948.02,9084485.44
